"Run Fondo";"serie";"caracteristica";"fecha_inicio";"fecha_termino";"valor_cuota_inicial";"continuadora_serie"
"8108";UNICA;;1997-04-03;2003-01-07;1000.0;
"8108";DELTA;;2003-01-08;2011-12-23;1728.6192;
"8108";GAMMA;;2003-01-08;2011-12-23;1728.6192;
"8108";ALFA;;2003-01-08;2012-01-03;1728.8413;UNICA
"8108";BETA;APV;2003-01-08;2012-01-03;1728.9028;UNICA
"8108";A;;;;1800.0;
"8108";ALPAT;;2012-01-04;;1000.0;
"8108";APV;APV;2012-01-04;;2892.6059;BETA
"8108";BCI;;2016-01-19;;1000.0;
"8108";BPRIV;;2012-01-04;;1000.0;
"8108";CLASI;;2012-01-04;;2585.9109;ALFA
"8108";FAMIL;;2012-01-04;;1000.0;
"8108";UNICA;;1997-04-03;2003-01-07;1000.0;
"8108";DELTA;;2003-01-08;2011-12-23;1728.6192;
"8108";GAMMA;;2003-01-08;2011-12-23;1728.6192;
"8108";ALFA;;2003-01-08;2012-01-03;1728.8413;UNICA
"8108";BETA;APV;2003-01-08;2012-01-03;1728.9028;UNICA
"8108";A;;;;1800.0;
"8108";ALPAT;;2012-01-04;;1000.0;
"8108";APV;APV;2012-01-04;;2892.6059;BETA
"8108";BCI;;2016-01-19;;1000.0;
"8108";BPRIV;;2012-01-04;;1000.0;
"8108";CLASI;;2012-01-04;;2585.9109;ALFA
"8108";FAMIL;;2012-01-04;;1000.0;
"8108";UNICA;;1997-04-03;2003-01-07;1000.0;
"8108";DELTA;;2003-01-08;2011-12-23;1728.6192;
"8108";GAMMA;;2003-01-08;2011-12-23;1728.6192;
"8108";ALFA;;2003-01-08;2012-01-03;1728.8413;UNICA
"8108";BETA;APV;2003-01-08;2012-01-03;1728.9028;UNICA
"8108";A;;;;1800.0;
"8108";ALPAT;;2012-01-04;;1000.0;
"8108";APV;APV;2012-01-04;;2892.6059;BETA
"8108";BCI;;2016-01-19;;1000.0;
"8108";BPRIV;;2012-01-04;;1000.0;
"8108";CLASI;;2012-01-04;;2585.9109;ALFA
"8108";FAMIL;;2012-01-04;;1000.0;
"8108";UNICA;;1997-04-03;2003-01-07;1000.0;
"8108";DELTA;;2003-01-08;2011-12-23;1728.6192;
"8108";GAMMA;;2003-01-08;2011-12-23;1728.6192;
"8108";ALFA;;2003-01-08;2012-01-03;1728.8413;UNICA
"8108";BETA;APV;2003-01-08;2012-01-03;1728.9028;UNICA
"8108";A;;;;1800.0;
"8108";ALPAT;;2012-01-04;;1000.0;
"8108";APV;APV;2012-01-04;;2892.6059;BETA
"8108";BCI;;2016-01-19;;1000.0;
"8108";BPRIV;;2012-01-04;;1000.0;
"8108";CLASI;;2012-01-04;;2585.9109;ALFA
"8108";FAMIL;;2012-01-04;;1000.0;
"8108";UNICA;;1997-04-03;2003-01-07;1000.0;
"8108";DELTA;;2003-01-08;2011-12-23;1728.6192;
"8108";GAMMA;;2003-01-08;2011-12-23;1728.6192;
"8108";ALFA;;2003-01-08;2012-01-03;1728.8413;UNICA
"8108";BETA;APV;2003-01-08;2012-01-03;1728.9028;UNICA
"8108";A;;;;1800.0;
"8108";ALPAT;;2012-01-04;;1000.0;
"8108";APV;APV;2012-01-04;;2892.6059;BETA
"8108";BCI;;2016-01-19;;1000.0;
"8108";BPRIV;;2012-01-04;;1000.0;
"8108";CLASI;;2012-01-04;;2585.9109;ALFA
"8108";FAMIL;;2012-01-04;;1000.0;
"8108";UNICA;;1997-04-03;2003-01-07;1000.0;
"8108";DELTA;;2003-01-08;2011-12-23;1728.6192;
"8108";GAMMA;;2003-01-08;2011-12-23;1728.6192;
"8108";ALFA;;2003-01-08;2012-01-03;1728.8413;UNICA
"8108";BETA;APV;2003-01-08;2012-01-03;1728.9028;UNICA
"8108";A;;;;1800.0;
"8108";ALPAT;;2012-01-04;;1000.0;
"8108";APV;APV;2012-01-04;;2892.6059;BETA
"8108";BCI;;2016-01-19;;1000.0;
"8108";BPRIV;;2012-01-04;;1000.0;
"8108";CLASI;;2012-01-04;;2585.9109;ALFA
"8108";FAMIL;;2012-01-04;;1000.0;
"8203";UNICA;;2002-02-05;2002-08-13;1000.0;
"8203";A;;2002-08-14;2007-06-30;1028.561;UNICA
"8203";B;;2002-08-14;2007-06-30;1000.0;
"8203";C;;2002-08-14;2007-06-30;1000.0;
"8203";I;;2002-08-14;2007-06-30;1000.0;
"8203";A-APV;APV;2007-07-01;2011-04-21;1256.1587;A
"8203";C;;2007-07-01;2011-04-21;1232.2182;C
"8203";C-APV;APV;2007-07-01;2011-04-21;1232.2182;C
"8203";A;;2007-07-01;;1256.1587;A
"8203";ADC;;2022-01-14;;1000.0;
"8203";B;;2007-07-01;;1230.4258;B
"8203";B-APV;APV;2007-07-01;;1230.4258;B
"8203";BTGP;;2021-04-06;;1000.0;
"8203";D;;2021-06-04;;1000.0;
"8203";D-APV;APV;2021-06-04;;1000.0;
"8203";I;;2007-07-01;;1287.6518;I
"8203";I-APV;APV;2007-07-01;;1287.6518;I
"8287";DISPO;;2003-12-23;2007-11-13;1000.0;
"8287";EJECU;;2007-11-14;2010-09-15;1082.7477;DISPO
"8287";PERMA;;2004-01-15;2010-09-15;1000.0;
"8287";AM;;2019-01-30;;1000.0;
"8287";APV;APV;2003-12-23;;1000.0;
"8287";CORPO;;2021-03-15;;1000.0;
"8287";EJECU;;2010-09-16;;1362.7874;PERMA
"8287";G;;2016-11-28;;1000.0;
"8287";III;;2016-11-29;;1000.0;
"8287";INVER;;2010-09-16;;1144.2111;EJECU
"8287";UNIVE;;2010-09-16;;1000.0;
"8315";B;APV;2004-12-06;2011-05-08;1000.0;
"8315";C;;2006-10-18;2011-05-08;1000.0;
"8315";APV-A;APV;2011-05-09;2013-04-26;1000.0;
"8315";EX;;;2016-03-26;1000.0;
"8315";G-APV;APV-APVC;2013-04-27;2016-03-26;1000.0;
"8315";A;;2004-12-06;;1000.0;
"8315";APV;APV;2013-04-27;;1599.6599;APV-A
"8315";APV-AP-APVC;APV-APVC;2022-09-28;;1000.0;
"8315";F;;2011-05-09;;1322.7205;C
"8315";I;;2011-05-09;;1000.0;
"8315";LV;;2016-03-11;;1000.0;
"8315";P;;2011-05-09;;1000.0;
"8346";R;;2016-09-02;2017-08-05;1000.0;
"8346";B;;2005-01-21;2020-12-22;1000.0;
"8346";C;APV;2005-01-21;2020-12-22;1000.0;
"8346";E-APV;APV;2017-04-25;2020-12-22;1000.0;
"8346";H-APV;APV;2016-12-02;2020-12-22;1000.0;
"8346";I;;2013-11-13;2020-12-22;1000.0;
"8346";A;;2005-01-24;;1000.0;
"8346";ADC;;2022-07-15;;1000.0;
"8346";B-APV/APVC;APV-APVC;2020-12-23;;1000.0;C
"8346";CUI;;2020-12-23;;1000.0;
"8346";CUI PREFER;;;;1000.0;
"8346";D;;2005-06-23;;1000.0;
"8346";E;;;;1000.0;
"8346";EXT;;;;1000.0;
"8346";H-APV/APVC;APV-APVC;2020-12-23;;1000.0;H-APV
"8346";I-APV/APVC;APV-APVC;2020-12-23;;1000.0;E-APV
"8346";N;;;;1000.0;
"8346";P;;2017-11-15;;1000.0;
"8346";PRE-APV;APV;;;1000.0;
"8346";W;;2022-02-09;;1000.0;
"8346";W-APV;APV;2022-04-18;;1000.0;
"8346";Z;;2022-11-30;;1000.0;
"8375";A;;2005-05-27;2011-05-08;1000.0;
"8375";A;;2005-05-27;2011-05-08;1000.0;
"8375";B;;2005-05-27;2011-05-08;1000.0;
"8375";C;;2005-05-27;2011-05-08;1000.0;
"8375";D;;2005-05-27;2011-05-08;1000.0;
"8375";E;APV;2005-05-27;2011-05-08;1000.0;
"8375";I;;2007-11-09;2011-05-08;1000.0;
"8375";APV-A;APV;2011-05-09;2013-04-26;1000.0;
"8375";EX;;;2016-03-26;1000.0;
"8375";G-APV;APV-APVC;2013-04-27;2016-03-26;1000.0;
"8375";APV-AP;APV;2020-09-08;2022-09-08;1000.0;
"8375";A;;2011-05-09;;1230.8111;C
"8375";APV;APV;2013-04-27;;1364.1435;APV-A
"8375";APV-AP-APVC;APV-APVC;2022-09-09;;1000.0;APV-AP
"8375";F;;2011-05-09;;1000.0;B
"8375";LV;;2017-07-06;;1000.0;
"8375";P;;2011-05-09;;1262.0732;A
"8676";A;;2009-01-20;;1000.0;
"8676";AC;;2015-10-08;;1000.0;
"8676";AC-APV;APV-APVC;2015-10-08;;1000.0;
"8676";B;;2009-01-20;;1000.0;
"8676";C;APV;2009-01-20;;1000.0;
"8676";D;APV;2009-01-20;;1000.0;
"8676";E;;2009-01-20;;1000.0;
"8676";F;;2009-01-20;;1000.0;
"8676";H;APV-APVC;2012-12-29;;1000.0;
"8676";I;;2012-12-29;;1000.0;
"8676";M;;2016-08-18;;1000.0;
"8676";SURA;;2017-06-13;;1000.0;
"8806";APV;APVC;;2015-10-02;1000.0;
"8806";I;APV;2010-08-02;2015-10-02;1000.0;
"8806";A;;2010-08-02;;1000.0;
"8806";APV1;APV;2015-10-03;;1000.0;APV
"8806";B;;2010-08-02;;1000.0;
"8806";D;;2010-08-02;;1000.0;
"8806";G;;2015-09-25;;1000.0;
"8806";H;;2015-09-04;;1000.0;A-I-R
"8806";I-APV;APV;2015-10-03;;1000.0;I
"8806";J;;2017-10-17;;1000.0;
"8806";S;;2015-10-05;;1000.0;
"8806";V;;2015-10-03;;1000.0;M
"9074";A;;2014-08-11;;1000.0;
"9074";APER;;2017-11-02;;1000.0;
"9074";APV;APV;2014-08-11;;1000.0;
"9074";B;;2014-08-11;;1000.0;
"9074";BE;;2019-07-02;;1000.0;
"9074";C;;2014-08-11;;1000.0;
"9074";I;;2014-08-11;;1000.0;
"9074";VIVIENDA;;2015-03-06;;1000.0;
"9154";ALTOPATRIM;;2022-04-19;;1000.0;
"9154";APV;APV;2021-08-15;;1000.0;
"9154";CLASICA;;2021-08-15;;1000.0;
"9154";FAMILIACLA;;2021-08-15;;1000.0;
"9154";SBK;;2023-04-27;;1000.0;
"9154";VIVIENDA;;2015-03-03;;4376.265;
"9154";WEALTH;;2022-01-28;;1000.0;
"9154";WEB;;2021-08-20;;1000.0;
"9201";A;;2015-06-24;2017-01-14;1000.0;
"9201";B;APV;2015-06-30;2017-01-14;1000.0;
"9201";F;;2015-07-15;2017-01-14;1000.0;
"9201";I;;2015-08-24;2017-01-14;1000.0;
"9201";M;;2015-07-08;2017-01-14;1000.0;
"9201";U;;2015-06-24;2017-01-14;1000.0;
"9201";FE;;;2018-11-18;1000.0;
"9201";P;;;2020-08-12;1000.0;
"9201";F1;;2017-01-15;2023-04-16;1074.6789;A
"9201";F2;;2017-01-15;2023-04-16;1081.077;M
"9201";F3;;2017-01-15;2023-04-16;1081.5249;F
"9201";APV;APV;2017-01-15;;1088.6327;B
"9201";F4;;2017-01-15;;1070.1084;I
"9201";F5;;2017-01-15;;1092.4278;U
"9201";IT;;2017-04-12;;1000.0;
"9201";S;;;;1000.0;
"9201";S-APV;APV;;;1000.0;
"9201";SIMPLE;;2023-04-17;;1352.577;F2
"9238";A;;2015-09-28;2017-11-09;1000.0;
"9238";B;APV;2015-09-28;2017-11-09;1000.0;
"9238";C;;2015-09-28;2017-11-09;1000.0;
"9238";F;;2015-12-16;2017-11-09;1000.0;
"9238";I;;2015-10-20;2017-11-09;1000.0;
"9238";APV;APV;2017-11-10;;1000.0;B
"9238";CLASICA;;2017-11-10;;1000.0;A
"9238";D;APV;2016-07-21;;1000.0;
"9238";E;APVC;;;1000.0;
"9238";G;APV;2016-08-02;;1000.0;
"9238";INSTITUCIO;;2017-11-10;;1000.0;I
"9238";K;;2016-08-26;;1000.0;
"9238";LARGOPLAZO;;2017-11-10;;1000.0;F
"9238";LIQUIDEZ;;2017-11-10;;1000.0;C
